year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasbling,allamerican,hasawards,drafted
2002,chad beasley,Virginia Tech,DT,77.4,303,5.17,27,31.5,99,4.57,7.75,0,0,0,Y
2002,rocky bernard,Texas A&M,DT,76,294,4.96,30,33,108,4.41,7.43,0,0,0,Y
2002,raheem brock,Temple,DE,75.6,267,4.93,25,34,109,4.23,7.09,0,0,0,Y
2002,kenyon coleman,UCLA,DE,76.9,284,4.97,32,,,,,0,0,0,Y
2002,mike collins,Ohio State,DT,75,298,5.03,31,31.5,102,4.46,7.52,0,0,0,N
2002,dorsett davis,Mississippi State,DT,77.3,304,5.03,30,31,109,4.67,7.93,0,0,0,Y
2002,ryan denney,Brigham Young,DE,79,276,4.86,36,33,107,4.25,7.18,0,0,0,Y
2002,nate dwyer,Kansas,DT,75,313,5.1,27,31,103,4.41,7.56,0,0,0,Y
2002,lonnie ford,Southern California,DE,74.4,261,4.81,22,37.5,111,4.28,7.12,0,0,0,N
2002,eddie freeman,Alabama-Birmingham,DT,77.1,310,4.93,32,34.5,109,4.81,7.85,0,0,0,Y
2002,dwight freeney,Syracuse,DE,72.9,266,4.48,28,,,,,1,1,1,Y
2002,charles grant,Georgia,DE,75,282,4.69,24,31,113,4.39,7.69,0,0,0,Y
2002,jarvis green,Louisiana State,DE,75.1,272,4.85,,31,109,4.25,7.52,0,0,0,Y
2002,sean guthrie,Boston College,DE,76,269,4.9,28,,,,,0,0,0,N
2002,carlos hall,Arkansas,DE,75.6,259,4.68,20,40,125,4.19,6.97,0,0,0,Y
2002,alan harper,Frenso State (CA),DT,73.9,295,5.31,,30.5,104,4.64,,1,0,1,Y
2002,john henderson,Tennessee,DT,78.9,306,4.87,24,27.5,106,4.66,7.71,0,0,0,Y
2002,charles hill,Maryland,DT,74,293,5.08,23,33.5,111,4.36,7.37,0,0,0,Y
2002,grant irons,Notre Dame,DE,77.6,267,5.03,19,40.5,117,4.38,7.27,0,0,0,N
2002,dennis johnson,Kentucky,DE,76.6,258,4.84,17,35.5,113,4.36,7.21,0,0,0,Y
2002,brett keisel,Brigham Young,DE,77,279,4.93,26,33.5,106,4.51,7.28,0,0,0,Y
