year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,wonaward,outland,drafted
1999,yusef scott,Arizona,OG,74.3,324,5.75,,24,82,,,0,0,N
1999,lj shelton,Eastern Michigan,OT,77.5,341,5.44,22,29.5,96,4.77,7.87,0,0,Y
1999,bobby singh,Portland State (OR),OG,74.5,316,5.43,24,26,90,4.72,7.92,0,0,N
1999,jeff smith,Wyoming,C,76,286,5.23,38,25,102,4.77,7.93,0,0,N
1999,cameron spikes,Texas A&M,OG,75.3,314,5.01,23,32.5,114,4.36,7.51,0,0,Y
1999,john tait,Brigham Young,OT,78.1,310,5.22,26,29.5,104,4.4,7.48,0,0,Y
1999,chris terry,Georgia,OT,76.9,291,5.07,,31,108,4.41,7.73,0,0,Y
1999,randy thomas,Mississippi State,OG,75.6,306,4.99,23,31,101,4.66,7.71,0,0,Y
1999,rex tucker,Texas A&M,OT,77,303,5.14,27,30,106,4.43,7.4,0,0,Y
1999,brian uhl,Cincinnati,C,76,294,5.43,14,25,99,4.77,8.04,0,0,N
1999,floyd wedderburn,Penn State,OT,77.3,334,5.5,20,24.5,86,5.26,8.76,0,0,Y
1999,john welbourn,California,OT,77.1,317,5.09,24,30,99,4.88,8.14,0,0,Y
1999,brad winn,North Texas,OG,77,339,5.59,23,23,87,4.92,8.4,0,0,N
1999,jerry wisne,Notre Dame,OG,78.4,306,5.26,30,28,96,4.61,7.6,0,0,Y
1999,joe wong,Brigham Young,OT,78,314,5.68,22,27,100,4.95,8.25,0,0,Y
1999,damien woody,Boston College,C,75.1,328,5.15,26,28.5,98,4.99,8.21,0,0,Y
1999,ryan young,Kansas State,OT,77.4,335,5.57,20,,,,,0,0,Y
2000,darnell alford,Boston College,OT,76,334,5.58,23,25,94,4.98,8.48,0,0,Y
2000,mark baniewicz,Syracuse,OT,77.9,312,5.36,20,28,96,4.73,7.72,0,0,Y
2000,terrance beadles,Arkansas-Pine Bluff,OG,74.9,312,5.21,29,,,,,0,0,N
2000,brad bedell,Colorado,OG,76.4,302,5.12,17,31.5,103,4.58,7.76,0,0,Y
2000,cooper carlisle,Florida,OG,77.4,297,5.2,28,31,100,4.48,7.82,0,0,Y
2000,joey chustz,Louisiana Tech,OT,78.6,304,5.12,28,31,103,4.65,7.65,0,0,Y
2000,travis claridge,Southern California,OG,77.1,303,5.18,29,31.5,100,4.86,7.77,0,0,Y
2000,chad clifton,Tennessee,OT,77.3,334,5.12,24,30.5,102,4.73,7.58,0,0,Y
2000,kurth connell,Washington,OT,76.1,291,5.54,27,33,103,4.84,8.14,0,0,N
2000,adam davis,Oklahoma State,OG,75.9,309,5.69,,26,92,5,8.51,0,0,N
2000,jonathan gray,Texas Tech,OT,76.1,338,5.94,20,23,94,,,0,0,N
2000,semisi heimuli,Texas A&M,OG,73.4,312,5.43,20,29,94,4.63,7.94,0,0,N
2000,al jackson,Louisiana State,OG,74.6,304,5.2,19,,,,,0,0,N
2000,jeno james,Auburn,OG,75.1,320,5.66,24,25.5,94,5.22,8.51,0,0,Y
2000,ryan johanningmeier,Colorado,OG,77.9,310,5.28,,29,107,4.66,7.9,0,0,N
2000,matt johnson,Brigham Young,OG,76,345,5.6,35,28,99,4.99,8.07,0,0,Y
2000,leander jordan,Indiana (PA),OG,75.9,330,5.53,25,31,104,4.76,7.91,0,0,Y
2000,adrian klemm,Hawaii,OT,75.9,307,4.98,24,,,,,0,0,Y
2000,andrew kline,San Diego State,OG,74.1,305,5.49,26,28,103,4.6,7.54,0,0,Y
2000,noel lamontagne,Virginia,OG,76.1,299,5.09,21,,,,,0,0,N
2000,stockar mcdougle,Oklahoma,OT,77.3,361,5.5,24,,,,,0,0,Y
2000,damion mcintosh,Kansas State,OT,75.9,328,5.35,23,26,97,4.71,7.72,0,0,Y
2000,brad meester,Northern Iowa,C,75.4,298,5.13,25,34,110,4.43,7.46,0,0,Y
2000,richard mercier,Miami (FL),OG,74.6,295,5.4,18,26,97,4.78,7.84,0,0,Y
2000,michael moore,Troy (AL),OG,75,320,5.47,34,24.5,94,5.06,8.37,0,0,Y
2000,kualana noa,Hawaii,OT,75.6,317,5.38,27,25.5,98,4.74,7.82,0,0,N
2000,matt oneal,Oklahoma,C,75,277,5.06,17,27.5,94,4.72,7.59,0,0,N
2000,chase raynock,Montana,OT,78,308,5.53,22,25,94,5,8.33,0,0,N
2000,tutan reyes,Mississippi,OT,75.3,299,5.38,20,26.5,99,4.88,7.49,0,0,Y
2000,greg robinsonrandall,Michigan State,OT,77.6,333,5.62,22,26,95,5.13,8.15,0,0,Y
2000,roger roesler,Texas,OG,77.4,314,5.33,25,29.5,101,4.76,8.31,0,0,N
2000,manuia savea,Arizona,OG,74.3,308,5.34,24,25,92,,,0,0,Y
2000,wes shivers,Mississippi State,OT,77.4,318,5.68,18,22.5,98,4.81,8.48,0,0,Y
2000,marvel smith,Arizona State,OT,77,320,5.34,24,27.5,100,4.84,7.87,0,0,Y
2000,john stclair,Virginia,C,77,302,5.2,25,,,,,0,0,N
2000,mark tauscher,Wisconsin,OG,75.4,318,5.43,22,27,90,4.84,7.91,0,0,Y
2000,jason thomas,Hampton (VA),OG,75.4,300,5.24,23,29.5,100,,7.99,0,0,Y
2000,michael thompson,Tennessee State,OT,76.5,305,5.3,16,26,104,4.73,7.99,0,0,Y
2000,ryan tujague,Washington State,OG,77.1,297,5.2,21,27,96,4.95,8.18,0,0,N
2000,andy vincent,Texas A&M,OG,76,306,5.2,14,28.5,108,4.42,7.54,0,0,N
2000,todd wade,Mississippi,OT,79.9,326,5.25,29,27.5,101,4.68,7.68,0,0,Y
2000,bobby williams,Arkansas,OT,75.8,332,5.34,28,29,97,4.72,7.78,0,0,N
2001,tom ashworth,Colorado,OG,77.8,293,5.11,20,33.5,109,4.3,7.4,0,0,N
