year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,allamerican,hasawards,hasbling,scrimyds,scrimplays,scrimypa,scrimtds,drafted
2006,leonard pope,Georgia,TE,79.75,258,4.67,22,37.5,118,4.67,7.47,0,0,0,1044,65,16.1,10,Y
2006,tony scheffler,Western Michigan,TE,77.38,254,4.57,17,33.5,115,4.01,6.81,0,0,0,1345,117,11.5,13,Y
2006,quinn sypniewski,Colorado,TE,78.5,268,4.8,20,32.5,114,4.52,7.09,0,0,0,563,44,12.8,5,Y
2006,david thomas,Texas,TE,75.13,252,4.72,19,37.5,113,4.34,7.05,0,0,0,1367,98,13.9,15,N
2006,cooper wallace,Auburn,TE,75.63,261,4.83,21,29,105,4.21,7.29,0,0,0,829,63,13.2,4,N
2006,tj williams,North Carolina State,TE,74.4,269,4.75,25,34,111,4.54,7.49,0,0,0,1283,98,13.1,5,Y
2007,michael allan,Whitworth (WA),TE,78.13,255,4.71,19,36,123,4.52,7.31,0,0,0,,,,,Y
2007,kevin boss,Western Oregon,TE,78.5,252,4.79,,35,116,4.41,6.96,0,0,0,,,,,Y
2007,scott chandler,Iowa,TE,79,270,4.83,16,30,111,4.32,7.26,0,0,0,1467,117,12.5,10,Y
2007,daniel coats,Brigham Young,TE,74.63,257,4.98,34,30,111,4.43,7.07,0,0,0,966,86,11.2,9,N
2007,jonny harline,Brigham Young,TE,75.75,248,4.85,15,28.5,106,4.68,7.05,0,0,0,1788,121,14.8,17,N
2007,clark harris,Rutgers,TE,77.5,261,4.81,21,32,112,4.4,,0,0,0,2015,143,14.1,11,Y
2007,zach miller,Arizona State,TE,76.38,256,4.89,,34,115,4.42,7.01,1,1,1,1512,144,10.5,14,Y
2007,martrez milner,Georgia,TE,75.88,252,4.83,19,34,117,4.49,7.35,0,0,0,808,49,16.5,5,Y
2007,joe newton,Oregon State,TE,79.13,257,4.91,20,31,109,4.57,7.35,0,0,0,1308,105,12.5,15,N
2007,greg olsen,Miami (FL),TE,77.88,254,4.53,23,35.5,114,4.48,7.04,0,0,0,1215,87,14,6,Y
2007,ben patrick,Delaware,TE,75.13,252,4.74,,34.5,111,4.31,7.21,0,0,0,,,,,Y
2007,anthony pudewell,Nevada,TE,76,250,5.07,15,25.5,101,4.41,7.31,0,0,0,785,73,10.8,6,N
2007,dante rosario,Oregon,TE,75.25,244,4.8,20,36,115,4.47,6.96,0,0,0,1087,121,9,13,Y
2007,chad upshaw,Buffalo,TE,76.4,252,4.92,16,33.5,108,4.58,7.23,0,0,0,972,94,10.3,7,N
2008,gary barnidge,Louisville,TE,77.63,243,4.64,22,31,117,4.23,6.92,0,0,0,1491,108,13.8,17,Y
2008,martellus bennett,Texas A&M,TE,78.13,259,4.75,18,34,118,4.53,7.64,0,0,0,1246,105,11.9,10,Y
2008,adam bishop,Nevada,TE,76.88,248,4.98,21,27,113,4.28,7.14,0,0,0,417,34,12.3,10,N
2008,john carlson,Notre Dame,TE,77.13,251,4.89,20,30.5,113,4.28,7.12,0,0,0,1093,100,10.9,8,Y
2008,brad cottam,Tennessee,TE,79.5,270,4.75,24,33,,,,0,0,0,341,21,16.2,1,Y
2008,kellen davis,Michigan State,TE,78.5,262,4.59,22,28,118,4.38,7.25,0,0,0,832,66,12.6,9,Y
2008,derek fine,Kansas,TE,74.63,251,4.85,24,29,115,4.19,6.8,0,0,0,1009,98,10.3,10,Y
2008,jermichael finley,Texas,TE,76.5,243,4.86,20,27.5,117,4.38,7.15,0,0,0,947,76,12.5,6,Y
2008,joey haynos,Maryland,TE,79.63,259,4.94,17,30.5,123,4.42,6.92,0,0,0,690,68,10.1,4,N
2008,kolo kapanui,West Texas A&M,TE,75.38,271,5.11,23,26.5,107,4.66,7.42,0,0,0,,,,,N
2008,dustin keller,Purdue,TE,74.13,242,4.57,26,38,131,4.14,6.88,0,0,0,1882,142,13.3,17,Y
2008,evan moore,Stanford,TE,78,233,4.78,16,27,110,4.43,7.08,0,0,0,1555,103,15.1,12,N
2008,tom santi,Virginia,TE,75.5,250,4.81,14,36,121,4.27,7.08,0,0,0,1184,97,12.2,6,Y
